region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_ME,NENG_ME_solar_photovoltaic_1,1,1,32,0.0,0.0,221367.10060974362,0.0,0.0,0.0,0.0,0.0,0.0,765893.25,0.0,6845,0.0,0.0,0.0,772738.25,221367.10060974362,551371.1493902564
NENGREST,NENGREST_naturalgas_ccccsavgcf_mid_0,1,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_naturalgas_ccavgcf_mid_0,1,0,34,2034.613992283191,0.0,230.0625555827783,0.0,137.59237960815432,1534.359900278409,0.0,190.9737705733661,0.0,7884.9893,0.0,301,0.0,5159.344333869039,0.0,8185.9892578125,9286.946932194938,-1100.9576743824382
NENGREST,NENGREST_naturalgas_ctavgcf_mid_0,1,0,35,455.6675119763202,0.0,38.67711265342067,0.0,42.998536109924316,273.1089244982528,0.0,119.24016643915468,0.0,824.8422,0.0,91,0.0,933.3481933205996,0.0,915.8422241210938,1863.0404449976722,-947.1982208765785
NENGREST,NENGREST_battery_mid_0,1,0,36,3.2970788709895075e6,6.469547768125673e6,824101.3620043729,1.6169555238020152e6,18757.725,0.0,22161.772883388756,0.0,5.3696115e6,1.5932399e7,0.0,1685270,0.0,0.0,0.0,1.7617669e7,1.761821452280496e7,-545.5228049606085
NENGREST,NENGREST_naturalgas_ccs100_mid_0,1,0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_landbasedwind_ltrg1_mid_130_1,1,1,38,759.8396396669639,0.0,162.30268655637468,0.0,0.0,0.0,0.0,0.0,0.0,331.98346,0.0,6,0.0,0.0,388.60239675715394,726.5858562298101,922.1423262233386,-195.55646999352848
NENGREST,NENGREST_utilitypv_losangeles_mid_80_0_2_1,1,1,39,2.3615454893474463e8,0.0,3.1052623675181963e7,0.0,0.0,0.0,0.0,0.0,0.0,2.6322803e8,0.0,1816804,0.0,0.0,2.1622442380471854e6,2.6720708023804718e8,2.6720717260992658e8,-92.37187939882278
NENGREST,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,1,1,40,1.554920051925286e9,0.0,5.47412652603821e8,0.0,0.0,0.0,0.0,0.0,0.0,1.4890714e9,0.0,19693515,0.0,0.0,12.082029614273138,1.5087648870820296e9,2.102332704529107e9,-5.935678174470775e8
NENG_CT,NENG_CT_naturalgas_ccccsavgcf_mid_0,1,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
