Constraint,CapRes_1
t147,1.050120122448265e-6
t148,1.045345182295759e-6
t149,1.119150441817022e-6
t150,1.1887001855113727e-6
t151,1.2712890878107203e-6
t152,1.3312959548690429e-6
t153,1.8151508173760549e-6
t154,1.4177720252222645e-6
t155,1.393772825867013e-6
t156,1.1344243967870146e-6
t157,1.0221175571269124e-6
t158,1.0750865410773698e-6
t159,1.2247833387963618e-6
t160,1.7484096215652178e-6
t161,1.5645333826210174e-6
t162,1.3963778797725815e-6
t163,1.413545289649534e-6
t164,1.3876015489209217e-6
t165,1.386813044546124e-6
t166,1.3083813449843655e-6
t167,1.3038708544898534e-6
t168,1.3647124718086588e-6
t169,1.4709727318567303e-6
t170,1.4921281096394716e-6
t171,1.405695363064529e-6
t172,1.1643019901699002e-6
t173,1.1292275579074332e-6
t174,1.1554376768512006e-6
t175,1.1679065410796092e-6
t176,1.3594581566226869e-6
t177,1.726251844378489e-6
t178,1.866776291876852e-6
t179,1.727764017273974e-6
t180,1.648083998166165e-6
t181,1.5984699429823086e-6
t182,1.5787212671557615e-6
t183,1.5383202169876813e-6
t184,1.930444793595217e-6
t185,2.2728548359026348e-6
t186,2.3388958787762784e-6
t187,1.9445310829068145e-6
t188,2.254317710373388e-6
t189,1.742602524961404e-6
t190,1.5598676524163625e-6
t191,1.3935622802351375e-6
t192,1.327807810603886e-6
t193,1.3603993387199071e-6
t194,1.358944637326086e-6
t195,1.3310246543503855e-6
t196,1.2825202735594561e-6
t197,1.3673913535986269e-6
t198,1.4401311341313683e-6
t199,1.993388794982103e-6
t200,2.292262425567981e-6
t201,2.7426046752513133e-6
t202,2.604209937797434e-6
t203,2.078789277666397e-6
t204,1.923665204487751e-6
t205,1.8165723566680223e-6
t206,1.7386133890352253e-6
t207,1.785981210377933e-6
t208,2.1448182476660665e-6
t209,3.5586325671845026e-6
t210,6.867873441797178e-6
t211,6.522192144164809e-6
t212,5.720769420133897e-6
t213,4.930228847334592e-6
t214,3.0020717486755423e-6
t215,1.9075154778931065e-6
t216,1.490918617369273e-6
t217,1.4576412564294222e-6
