Resource,NENGREST_Fusion,Total
Zone,1,0
t154,231292.95278470745,231292.95278470745
t155,235292.86632424206,235292.86632424206
t156,239292.78100881586,239292.78100881586
t157,243292.69579439296,243292.69579439296
t158,247292.61047990783,247292.61047990783
t159,251292.5244996234,251292.5244996234
t160,255292.07772840536,255292.07772840536
t161,255298.90247561593,255298.90247561593
t162,253059.92577454352,253059.92577454352
t163,250820.94688452748,250820.94688452748
t164,248581.96710571664,248581.96710571664
t165,246342.98689736726,246342.98689736726
t166,244104.0063247098,244104.0063247098
t167,241865.02563775517,241865.02563775517
t168,239626.04505357935,239626.04505357935
t169,237387.06460151335,237387.06460151335
t170,235148.08466882346,235148.08466882346
t171,232909.10767265895,232909.10767265895
t172,234365.47596574677,234365.47596574677
t173,235869.85718179267,235869.85718179267
t174,237374.23808246723,237374.23808246723
t175,237704.9058738425,237704.9058738425
t176,235465.9280642245,235465.9280642245
t177,236970.3147360913,236970.3147360913
t178,238474.68734663885,238474.68734663885
t179,239979.06274598668,239979.06274598668
t180,241483.4362358918,241483.4362358918
t181,242987.80355240058,242987.80355240058
t182,244492.17774193236,244492.17774193236
t183,245996.5482897616,245996.5482897616
t184,245007.21291601227,245007.21291601227
t185,242768.23271847682,242768.23271847682
t186,240529.25090037132,240529.25090037132
t187,238290.26917576903,238290.26917576903
t188,236051.2860268729,236051.2860268729
t189,233812.30447812148,233812.30447812148
t190,231573.32361148484,231573.32361148484
t191,231278.71038950232,231278.71038950232
t192,231307.02408641356,231307.02408641356
t193,229068.04592143133,229068.04592143133
t194,226829.06789770664,226829.06789770664
t195,224821.54523379123,224821.54523379123
t196,224751.43563294158,224751.43563294158
t197,222944.5463512747,222944.5463512747
t198,220705.56663119086,220705.56663119086
t199,218466.58633020273,218466.58633020273
t200,216227.60504123816,216227.60504123816
t201,213988.62507036515,213988.62507036515
t202,211749.64467816305,211749.64467816305
t203,210050.1336735682,210050.1336735682
t204,210047.3733185274,210047.3733185274
t205,211551.75203356493,211551.75203356493
t206,213056.1239697082,213056.1239697082
t207,214560.50314238915,214560.50314238915
t208,212881.43257429704,212881.43257429704
t209,210642.45068060176,210642.45068060176
t210,208403.4672649979,208403.4672649979
t211,206164.48367930102,206164.48367930102
t212,203925.5011116122,203925.5011116122
t213,201686.51887201416,201686.51887201416
t214,199447.5366484748,199447.5366484748
t215,197208.55457145307,197208.55457145307
t216,194969.57234338918,194969.57234338918
t217,192730.59027787877,192730.59027787877
t218,190491.6083993702,190491.6083993702
t219,188252.6267084968,188252.6267084968
t220,186013.64510520024,186013.64510520024
t221,183774.6635710329,183774.6635710329
t222,181535.68223260407,181535.68223260407
t223,179296.7011699828,179296.7011699828
t224,177057.7197536014,177057.7197536014
t225,174818.73920535427,174818.73920535427
t226,172579.75867794044,172579.75867794044
t227,172737.63257015368,172737.63257015368
t228,174242.0149642036,174242.0149642036
t229,175746.3941065138,175746.3941065138
t230,177250.773183751,177250.773183751
t231,178369.07625380513,178369.07625380513
t232,178431.02017503613,178431.02017503613
t233,176192.04126169469,176192.04126169469
t234,173953.0622579295,173953.0622579295
t235,171714.0830743971,171714.0830743971
t236,169475.10387329684,169475.10387329684
t237,167236.12476225378,167236.12476225378
t238,164997.14576220032,164997.14576220032
t239,164626.53851586021,164626.53851586021
t240,165216.72356543248,165216.72356543248
t241,166679.0908562168,166679.0908562168
t242,168020.2595382863,168020.2595382863
t243,166034.8707195603,166034.8707195603
t244,163795.890931971,163795.890931971
t245,161556.91056492267,161556.91056492267
t246,159317.92971271276,159317.92971271276
t247,157078.94847970986,157078.94847970986
t248,154839.9660841566,154839.9660841566
t249,152600.98535140825,152600.98535140825
t250,153407.93417542323,153407.93417542323
