,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t4993,13096.362466848163,0.021849710761246807,-0.010888659041933285,128.91436391600072,-203.96778939457465,5.5926127650414625e-5,1.1240471399422558e-5,0.0,0.0,-13021.0
t4994,12215.508554653903,0.023026443697703507,-0.008983231972482226,120.78441240233971,-135.9870081995535,5.573708398539885e-5,1.1317653618068244e-5,0.0,0.0,-12200.0
t4995,11698.318941235324,0.01465933296306171,-0.009530617272964705,115.43340074502662,-154.43746678700353,5.536330414979221e-5,1.1374806234401384e-5,0.0,0.0,-11659.0
t4996,11452.60835322341,0.004637279467885744,-25.5467145958913,103.70673494889854,-200.45300386476265,5.4192681390054486e-5,1.1157183760402067e-5,0.0,0.0,-11330.0
t4997,11358.601896552713,0.004630847535300693,-19.62798645077693,102.58260520161846,-185.2411396927767,5.4194758176865294e-5,1.122596469334039e-5,0.0,0.0,-11256.0
t4998,11279.205707748337,0.004436799142365562,-10.568243546017975,105.68885833799945,-18.01075199396379,5.4361179734599196e-5,1.1270030516562236e-5,0.0,0.0,-11356.0
t4999,12064.057575599772,0.005367978636410649,-138.76556281487922,87.2725460222917,-221.2499208623501,5.4910010892884327e-5,1.127901230235003e-5,0.0,0.0,-11791.0
t5000,12984.847408561098,0.005440980185647205,-108.92802928735505,95.45439912878422,-136.05921450851,5.5569823346427735e-5,1.1307057135132094e-5,0.0,0.0,-12835.0
t5001,14286.031331369011,0.005541685677594536,-81.6566468191822,104.6574572180064,-155.7176774770683,5.583655372186566e-5,1.1083329061599714e-5,0.0,0.0,-14153.0
t5002,15412.138336739974,0.0058268701834249875,-68.41093807288816,115.45655845785724,-126.86978089052914,5.799699543128059e-5,1.1235849112085287e-5,0.0,0.0,-15332.0
t5003,16184.83093230066,0.005838277677373087,-42.10604873685896,124.94809375238087,-96.35881051496254,5.557279015340734e-5,1.1283246188172874e-5,0.0,0.0,-16171.0
t5004,16639.710212612837,0.005632274830553163,-44.09725875826416,125.72509325359313,-105.0236733241983,5.5677938313248574e-5,1.1258817284242725e-5,0.0,0.0,-16616.0
t5005,16876.483497507325,0.005185414701106355,-54.283138145196894,119.87281628723154,-154.75835482634477,5.508752608528952e-5,1.1032549000073902e-5,0.0,0.0,-16787.0
t5006,16877.71283033794,0.005724167992391619,-49.10265959033262,119.05719687112492,-148.3530863640494,5.539687640420339e-5,1.120508909318231e-5,0.0,0.0,-16799.0
t5007,16870.96204355486,0.005256966871763414,-70.54008462458982,111.7666590947086,-245.87386786546915,5.484730483440027e-5,1.1014363308996518e-5,0.0,0.0,-16666.0
t5008,16335.27119007842,0.0047988631871324775,-24.148892375053293,115.30449622920203,-143.1115858084371,5.4489179080383856e-5,1.1165130878446361e-5,0.0,0.0,-16283.000000000002
t5009,15951.303529653083,0.015000857733893813,-0.007630244481474156,118.71879848239668,-118.70969666481149,5.655320982318502e-5,1.1126809095270084e-5,0.0,0.0,-15951.0
t5010,15497.072637747224,233.5055482583937,-0.005600737957333915,127.17953520169942,-64.43211877595388,5.7127892557793446e-5,1.1196763055927151e-5,0.0,0.0,-15793.0
t5011,13478.044000095177,1918.338925037676,-0.003102574833413518,153.94459505349914,-0.004419481205386984,5.774469150783238e-5,1.0972306018093963e-5,0.0,0.0,-15550.0
t5012,12887.340422936295,2304.0632611419946,-0.0011431070670558092,151.9186277634883,-0.001179764807871888,6.042231620708256e-5,1.1199233468564711e-5,0.0,0.0,-15343.0
t5013,13795.450045040143,1510.385449489083,-0.005371636376503289,151.95208891927692,-108.46220983941545,5.67337598973764e-5,1.1109985897530164e-5,0.0,0.0,-15349.0
t5014,13014.854034017113,1694.5754227975171,-0.005073484213551225,146.54531141855125,-53.64969329840006,5.65452351377618e-5,1.1116229441070094e-5,0.0,0.0,-14802.0
t5015,13103.349365741436,646.651779067216,-0.004811560691908357,136.93525904036,-54.61159085369327,5.613805568457674e-5,1.1146495692415589e-5,0.0,0.0,-13832.0
t5016,12772.033340853339,0.024966283875774615,-0.005085558156327761,126.2041869300737,-151.93740434799304,5.527878374341844e-5,1.0891360947538984e-5,0.0,0.0,-12746.0
t5017,11836.380859454162,0.016803511458328514,-0.005269636221413867,116.84341934558321,-151.915808566852,5.4827356830542885e-5,1.1055025979684287e-5,0.0,0.0,-11801.0
t5018,11373.640687513482,0.005407522754451072,-0.011356450330914931,84.67921459369015,-271.9939464924911,5.3977086090187545e-5,1.1221711992691292e-5,0.0,0.0,-11186.0
t5019,10832.426615001064,0.006342606347225716,-0.008536319132391348,84.41259401068051,-132.5170084890119,5.435484669978143e-5,1.1381027908760913e-5,0.0,0.0,-10784.0
