Segment,1,2,3,4,Total
t34,1.0791897809430069e-5,9.459106984323878e-6,1.2723235578196307e-5,2.6840997029028545e-5,1.0791897809430069e-5
t35,1.0866641040706383e-5,9.537041693727901e-6,1.2973943528250724e-5,2.6940993702640765e-5,1.0866641040706383e-5
t36,1.0744078438711544e-5,9.528096325082128e-6,1.2851902957770156e-5,2.6661554157277057e-5,1.0744078438711544e-5
t37,1.0802149318231314e-5,9.543052803102504e-6,1.295368717365864e-5,2.680544241370821e-5,1.0802149318231314e-5
t38,1.0837903435707641e-5,9.543983924018775e-6,1.2976155074682302e-5,2.6895563756226312e-5,1.0837903435707641e-5
t39,1.0862337607871506e-5,9.550745799566483e-6,1.3038267580920108e-5,2.6985594088355513e-5,1.0862337607871506e-5
t40,1.107294985913557e-5,9.70630361933992e-6,1.3569545224845046e-5,2.869497067899519e-5,1.107294985913557e-5
t41,1.1377427351128283e-5,1.0251881280739357e-5,1.476635419694203e-5,3.6841328813733906e-5,1.1377427351128283e-5
t42,1.057704845431897e-5,9.9769945607438e-6,1.40935597939103e-5,3.191169322975671e-5,1.057704845431897e-5
t43,1.0740025340332148e-5,9.968452529114157e-6,1.4073881989771106e-5,3.1904179310353334e-5,1.0740025340332148e-5
t44,1.1991341166783232e-5,1.1095677991552984e-5,1.777755870462706e-5,6.428537524079472e-5,1.1991341166783232e-5
t45,1.1482240222363788e-5,1.0163357174231522e-5,1.520445157559962e-5,3.41857943249468e-5,1.1482240222363788e-5
t46,1.1420013587567443e-5,1.0074561819996333e-5,1.4767398874369047e-5,3.3724978036444995e-5,1.1420013587567443e-5
t47,1.1541973094652734e-5,1.0006245014815098e-5,1.4427601156331965e-5,3.4294503837090166e-5,1.1541973094652734e-5
t48,1.1627469821629474e-5,9.921512731137662e-6,1.4058375497410627e-5,3.445617973830075e-5,1.1627469821629474e-5
t49,1.1651082292775834e-5,9.835414706467893e-6,1.3715211400775835e-5,3.4464789265031736e-5,1.1651082292775834e-5
t50,1.168150546760297e-5,9.76689766926766e-6,1.347665193709792e-5,3.441459947598421e-5,1.168150546760297e-5
t51,1.148345358526634e-5,9.709905608635082e-6,1.3323409840843337e-5,3.430292340839408e-5,1.148345358526634e-5
t52,1.15383618119884e-5,9.720188936159678e-6,1.3347378986590328e-5,3.431494683023734e-5,1.15383618119884e-5
t53,1.1582225251485052e-5,9.810618185914372e-6,1.359098376389224e-5,3.438006164537052e-5,1.1582225251485052e-5
t54,1.15876868105139e-5,9.942254424614073e-6,1.4150204090349984e-5,3.4429082777749626e-5,1.15876868105139e-5
t55,1.1527592463595451e-5,1.0100150516338825e-5,1.4891114988413875e-5,3.418135116817354e-5,1.1527592463595451e-5
t56,1.1284588214512221e-5,1.0164829161076296e-5,1.5207063508268646e-5,3.418767100623841e-5,1.1284588214512221e-5
t57,1.1217188462070342e-5,1.0174631949544882e-5,1.5301924127818246e-5,3.4207795831566906e-5,1.1217188462070342e-5
t58,1.1360048111834506e-5,1.0167475582668695e-5,1.4649437363074156e-5,3.454502093208997e-5,1.1360048111834506e-5
t59,1.1343562225171775e-5,1.0192613616667499e-5,1.4719197862294573e-5,3.402861505345466e-5,1.1343562225171775e-5
t60,1.0937210672312095e-5,9.732633576674673e-6,1.3693381207249528e-5,2.72306648074698e-5,1.0937210672312095e-5
t61,1.0804538202295578e-5,9.692322170019193e-6,1.344839179765352e-5,2.6887208539063807e-5,1.0804538202295578e-5
t62,1.0779552221070007e-5,9.672556157090479e-6,1.3431433001924403e-5,2.6578469239359922e-5,1.0779552221070007e-5
t63,1.0793950947176857e-5,9.683423852870962e-6,1.3495798608945955e-5,2.6675229799761595e-5,1.0793950947176857e-5
t64,1.1023257864396808e-5,9.949098337593222e-6,1.4194590112140781e-5,2.9941187291039655e-5,1.1023257864396808e-5
t65,1.0837117186249985e-5,1.007065522487223e-5,1.3754338916651722e-5,3.419876433034966e-5,1.0837117186249985e-5
t66,1.0760060942834682e-5,1.0386834702556814e-5,1.453589766526323e-5,3.928211827973844e-5,1.0760060942834682e-5
t67,1.0804449955390372e-5,1.0398243048816343e-5,1.4573135267390651e-5,3.9406104195358134e-5,1.0804449955390372e-5
t68,1.084981965801685e-5,1.0382242386203815e-5,1.450927845258998e-5,3.940358566546226e-5,1.084981965801685e-5
t69,1.0727185340424719e-5,1.0080589554164636e-5,1.3767279290986247e-5,3.3672179036883e-5,1.0727185340424719e-5
t70,1.0921039880950592e-5,1.0018908724700912e-5,1.3583384926553392e-5,3.3711884400360396e-5,1.0921039880950592e-5
t71,1.1280576110834242e-5,1.0267563889344793e-5,1.4909931526259186e-5,3.692798336228744e-5,1.1280576110834242e-5
t72,1.1291834826652519e-5,1.0027715921710646e-5,1.434015834313718e-5,3.388331819951044e-5,1.1291834826652519e-5
t73,1.1368866209380867e-5,9.97785721600868e-6,1.4205766745232464e-5,3.403699416446102e-5,1.1368866209380867e-5
t74,1.1380923692891483e-5,9.953477170903906e-6,1.4188774719938678e-5,3.421013281890265e-5,1.1380923692891483e-5
t75,1.1395020929057754e-5,9.93896477039527e-6,1.417806499210074e-5,3.4311896850300545e-5,1.1395020929057754e-5
t76,1.12187666095733e-5,9.876409063269941e-6,1.3804700970326682e-5,3.38225972231403e-5,1.12187666095733e-5
t77,1.1252719484758689e-5,9.925574548737465e-6,1.39901080670778e-5,3.3879795397424884e-5,1.1252719484758689e-5
t78,1.1229290693104632e-5,1.0024691027678444e-5,1.4352134695425497e-5,3.389298215495112e-5,1.1229290693104632e-5
t79,1.1197577782257923e-5,1.0325789530578804e-5,1.5240714535238454e-5,3.6792106721603346e-5,1.1197577782257923e-5
